title,text,label
Breaking: New Study Reveals Health Benefits of Green Tea,A recent study published in a reputable journal highlights the antioxidants in green tea improve health.,REAL
"Celebrity X Secretly Married Last Year, Exclusive Photos Inside",Exclusive coverage of Celebrity Xâ€™s secret wedding with intimate photos and details.,FAKE
NASA Confirms Water Found on Mars for the First Time,"NASA's rover mission has confirmed the presence of water on Mars, a breakthrough in space research.",REAL
"Politician Y Accused of Corruption, Investigation Underway",Authorities have launched an investigation into allegations of corruption involving Politician Y.,REAL
Fake News Alert: No Evidence of Alien Life Found on Earth,There is no credible evidence supporting claims of alien life found on Earth.,FAKE
Unbelievable! Miracle Cure for Diabetes Discovered,"A miracle cure for diabetes has been discovered, but experts warn about the hype.",FAKE
Scientists Reveal That Vaccines Cause Autism - Shocking!,Claims that vaccines cause autism have been thoroughly debunked by the scientific community.,FAKE
Local Man Wins Lottery Twice in One Month,"A local man has won the lottery twice in the span of one month, an extremely rare event.",REAL
Fake: Government to Ban Internet Next Year,Rumors about the government banning the internet next year have been proven false.,FAKE
Real News: New Renewable Energy Sources Reduce Carbon Emissions,Renewable energy projects have led to a significant reduction in carbon emissions worldwide.,REAL
Fake: Eating Chocolate Daily Leads to Weight Loss,There is no scientific proof that eating chocolate daily results in weight loss.,FAKE
Real: City Council Approves New Park Construction,The city council has given the green light to build a new park in the downtown area.,REAL
Fake: Famous Actor Involved in Crime Scandal,Reports of a famous actor involved in a crime scandal have been fabricated by tabloids.,FAKE
Real: Stock Market Hits Record High After Policy Announcement,Stock markets soared after the announcement of new economic policies by the government.,REAL
Fake: Drinking Lemon Water Cures COVID-19,The idea that drinking lemon water can cure COVID-19 is false and misleading.,FAKE
Real: New Technology Helps Clean Oceans from Plastic Waste,New technology is being developed to help remove plastic waste from oceans effectively.,REAL
Fake: Bill Gates Plans to Microchip Everyone Through Vaccines,Conspiracy theories about Bill Gates microchipping people through vaccines are baseless.,FAKE
Real: Scientists Develop New Method to Detect Earthquakes Early,Scientists have developed a new early detection system to predict earthquakes more accurately.,REAL
"Fake: 5G Networks Cause Brain Cancer, Experts Warn",There is no scientific evidence linking 5G networks to brain cancer according to experts.,FAKE
Real: Community Organizes Charity Event for Homeless,A community-driven charity event successfully raised funds to support homeless individuals.,REAL
